Points_0,Points_1,Points_2,Points_Magnitude,Point ID
0.901687,0.399705,-0.511128,1.11088,0
0.957998,0.358437,-0.531103,1.15252,1
0.924289,0.33647,-0.583672,1.14376,2
1.01771,0.299714,-0.561718,1.20046,3
0.987192,0.279674,-0.591274,1.18422,4
0.887893,0.260873,-0.603573,1.10486,5
0.857774,0.305423,-0.58947,1.08468,6
0.814334,0.359403,-0.547476,1.04501,7
0.857937,0.380937,-0.541089,1.08349,8
0.785505,0.394341,-0.524949,1.02377,9
0.818664,0.422217,-0.519756,1.05765,10
0.917027,0.393528,-0.472237,1.104,11
0.789942,0.324522,-0.542567,1.01178,12
0.828646,0.275872,-0.570211,1.04302,13
0.738734,0.403521,-0.480705,0.969348,14
0.767838,0.365562,-0.52009,0.996847,15
0.753856,0.329843,-0.46183,0.9436,16
0.88564,0.225853,-0.478804,1.0318,17
0.766991,0.285436,-0.476976,0.947236,18
0.820752,0.233409,-0.489544,0.983752,19
0.778518,0.318801,-0.377661,0.922146,20
0.756731,0.391762,-0.384824,0.934991,21
0.730124,0.378129,-0.442579,0.933777,22
0.795255,0.26228,-0.391552,0.924411,23
0.82698,0.226848,-0.386006,0.940402,24
0.88268,0.224116,-0.380093,0.986824,25
0.937769,0.235087,-0.474079,1.07677,26
0.935147,0.235722,-0.380566,1.03677,27
0.963808,0.354718,-0.491837,1.13871,28
1.02702,0.31644,-0.52889,1.19776,29
0.976272,0.343664,-0.452081,1.12942,30
1.04233,0.288725,-0.47741,1.18226,31
0.92128,0.388805,-0.424081,1.08617,32
0.953497,0.331304,-0.387499,1.08124,33
0.993266,0.276005,-0.389996,1.1022,34
0.916486,0.372744,-0.397198,1.06614,35
0.826603,0.354326,-0.352492,0.965956,36
0.789917,0.435939,-0.363354,0.972645,37
0.857933,0.300358,-0.358089,0.976981,38
0.887331,0.402581,-0.386346,1.04818,39
-1.1956,0.0952793,-1.11172,1.63538,40
-1.13501,0.0546087,-1.1306,1.60297,41
-1.17344,0.0319797,-1.18437,1.66755,42
-1.07118,-0.00353973,-1.16018,1.57906,43
-1.10553,-0.024119,-1.1907,1.62498,44
-1.21473,-0.0443006,-1.20552,1.71196,45
-1.24677,-1.84416e-05,-1.1919,1.72484,46
-1.29258,0.0536289,-1.15051,1.73127,47
-1.24444,0.0757963,-1.14297,1.69138,48
-1.32313,0.0883293,-1.12842,1.7412,49
-1.28636,0.116707,-1.12231,1.71112,50
-1.17797,0.0894229,-1.07224,1.5954,51
-1.31961,0.0183852,-1.14627,1.74804,52
-1.27857,-0.0299421,-1.17332,1.7356,53
-1.37312,0.0970575,-1.08499,1.75274,54
-1.34272,0.0592849,-1.12405,1.75211,55
-1.3571,0.0235109,-1.06589,1.7258,56
-1.21467,-0.0789987,-1.08016,1.6274,57
-1.34368,-0.0208605,-1.08096,1.72464,58
-1.28583,-0.0723127,-1.09249,1.68883,59
-1.32824,0.0130544,-0.980654,1.65108,60
-1.35129,0.085835,-0.988138,1.67624,61
-1.38197,0.0716342,-1.04692,1.73522,62
-1.31101,-0.0433968,-0.994419,1.64605,63
-1.27663,-0.078463,-0.988199,1.61631,64
-1.21558,-0.08045,-0.980926,1.56407,65
-1.15741,-0.0690482,-1.07413,1.58054,66
-1.15803,-0.0681298,-0.980109,1.51865,67
-1.12776,0.0510859,-1.09097,1.56993,68
-1.05999,0.0134452,-1.12687,1.54712,69
-1.11332,0.0403126,-1.05072,1.53138,70
-1.04237,-0.0139437,-1.0748,1.49731,71
-1.17223,0.0849067,-1.02371,1.55863,72
-1.13686,0.027842,-0.986329,1.50535,73
-1.09413,-0.0270446,-0.988074,1.4745,74
-1.17704,0.0688419,-0.996826,1.54397,75
-1.27457,0.0493584,-0.954063,1.59286,76
-1.31389,0.130603,-0.965594,1.63577,77
-1.24113,-0.00431918,-0.959129,1.56855,78
-1.20829,0.0983885,-0.986512,1.56297,79
0.745627,0.153507,0.418068,0.868507,80
0.698971,0.204092,0.394889,0.828343,81
0.648645,0.178977,0.394326,0.779914,82
0.792573,0.0824601,0.444532,0.912458,83
0.69548,0.115678,0.438968,0.830521,84
0.635407,0.0908472,0.404378,0.758628,85
0.660946,0.0418782,0.410741,0.779302,86
0.754542,0.0551753,0.448531,0.879522,87
0.608313,0.160601,0.373316,0.731575,88
0.58823,0.203978,0.356754,0.717562,89
0.767256,0.165052,0.386633,0.874877,90
0.576694,0.181115,0.334211,0.690707,91
0.591224,0.132766,0.345586,0.697569,92
0.6194,0.0739573,0.364993,0.722736,93
0.648883,0.0675622,0.278608,0.709391,94
0.590906,0.172604,0.266453,0.67079,95
0.600575,0.12485,0.266804,0.668926,96
0.619486,0.259326,0.228577,0.709409,97
0.648635,0.193469,0.20284,0.706612,98
0.663155,0.134809,0.198857,0.705331,99
0.712895,0.0591601,0.293263,0.773125,100
0.697368,0.101777,0.193282,0.730779,101
0.761379,0.0648773,0.314278,0.826243,102
0.750636,0.0966987,0.210064,0.78545,103
0.812949,0.10987,0.427874,0.925221,104
0.795778,0.169494,0.35462,0.88755,105
0.729325,0.212402,0.366683,0.843496,106
0.802522,0.18562,0.287264,0.872363,107
0.85031,0.103433,0.380805,0.93741,108
0.753255,0.226667,0.32689,0.851838,109
0.69947,0.231647,0.215717,0.767758,110
0.73041,0.177304,0.211862,0.78091,111
0.761282,0.222978,0.296466,0.846854,112
0.797098,0.10251,0.23643,0.837718,113
0.842514,0.130535,0.283774,0.898553,114
-1.37415,-0.176153,-0.0617864,1.38677,115
-1.42508,-0.126165,-0.0860523,1.43324,116
-1.4805,-0.151995,-0.087908,1.49087,117
-1.32309,-0.246625,-0.0342778,1.34631,118
-1.42901,-0.214642,-0.0420891,1.44565,119
-1.4959,-0.240426,-0.0784061,1.51713,120
-1.46844,-0.289127,-0.0715534,1.49834,121
-1.36495,-0.274449,-0.0312509,1.39262,122
-1.52537,-0.171003,-0.110075,1.53886,123
-1.54717,-0.127865,-0.127067,1.55763,124
-1.35108,-0.164409,-0.0928595,1.36421,125
-1.56063,-0.150994,-0.150099,1.57509,126
-1.54509,-0.199202,-0.138469,1.56402,127
-1.51458,-0.257688,-0.118469,1.5409,128
-1.48447,-0.263991,-0.204693,1.52159,129
-1.54681,-0.15956,-0.217957,1.57022,130
-1.53686,-0.207277,-0.217534,1.56595,131
-1.5153,-0.0724321,-0.255089,1.53833,132
-1.48489,-0.138109,-0.280505,1.51745,133
-1.46987,-0.1967,-0.284362,1.50999,134
-1.41418,-0.271522,-0.188447,1.45229,135
-1.433,-0.229365,-0.289263,1.47979,136
-1.36056,-0.265087,-0.166131,1.39606,137
-1.37439,-0.233697,-0.271129,1.42024,138
-1.30082,-0.218956,-0.0504566,1.32008,139
-1.32058,-0.159689,-0.124368,1.336,140
-1.39244,-0.117535,-0.113676,1.402,141
-1.3146,-0.143674,-0.191918,1.33628,142
-1.26116,-0.225067,-0.096941,1.28475,143
-1.36702,-0.103062,-0.153091,1.37942,144
-1.42847,-0.0991497,-0.266215,1.45644,145
-1.39542,-0.153205,-0.26953,1.42944,146
-1.35901,-0.106752,-0.183523,1.37549,147
-1.32284,-0.227173,-0.243466,1.36411,148
-1.27165,-0.198346,-0.194656,1.30166,149
0.572943,0.226456,0.259925,0.66866,150
-1.56591,-0.105869,-0.224778,1.5855,151
1.6371,2.73225,0.380421,3.2078,152
1.64172,2.71437,0.371433,3.19391,153
1.62986,2.71765,0.365888,3.18998,154
1.65055,2.70919,0.427172,3.20101,155
1.64643,2.72058,0.382864,3.20294,156
1.65017,2.69497,0.401183,3.18542,157
1.63178,2.69007,0.374794,3.16853,158
