Points_0,Points_1,Points_2
2.30615,2.23548,0.264083
2.29747,2.27104,0.296963
2.28911,2.24386,0.307529
2.32579,2.25786,0.286776
2.3626,2.22344,0.266556
2.32134,2.18289,0.30604
0.758466,1.29539,-0.217454
0.810446,1.33676,-0.199248
0.809097,1.24993,-0.183374
0.867235,1.35889,-0.159302
0.858957,1.25882,-0.15444
0.910638,1.34108,-0.109296
0.924576,1.26946,-0.0740891
0.856202,1.20464,-0.139964
0.799911,1.18773,-0.164102
0.708905,1.18134,-0.190744
0.73065,1.24211,-0.208826
0.785725,1.15349,-0.152562
0.69922,1.14649,-0.17405
0.770076,1.10926,-0.125527
0.685198,1.09335,-0.14631
0.75057,1.04781,-0.0785851
0.844022,1.11769,-0.105232
0.831027,1.06215,-0.0664631
0.871701,1.09113,-0.0643861
0.901958,1.13504,-0.0578101
0.854734,1.1689,-0.127378
0.925008,1.19113,-0.0682921
0.942843,1.31379,-0.0632101
1.00762,1.26947,-0.000928085
0.963663,1.19483,-0.0364041
1.00308,1.19314,-0.00582009
0.983848,1.12611,-0.0217031
0.956143,1.08936,-0.0328421
0.921821,1.04473,-0.0392561
0.856709,1.01538,-0.0415171
0.815705,1.01368,-0.0463181
0.739608,1.02171,-0.0626721
0.664639,1.03023,-0.117212
1.05278,1.26454,0.0459999
1.03897,1.19152,0.0339619
1.02324,1.1057,0.0251459
0.992937,1.05937,0.0150259
0.947437,1.00949,0.0117769
0.869907,0.977367,0.00122792
0.80438,0.977393,-0.000385087
0.736888,0.981122,-0.0185321
0.650797,0.982357,-0.0734971
1.05754,1.25667,0.171517
1.04028,1.18174,0.171517
1.02462,1.09803,0.171517
0.991625,1.04867,0.171517
0.941191,1.00577,0.171518
0.865046,0.966884,0.171518
0.783037,0.963569,0.171518
0.703242,0.976031,0.171518
0.59448,0.988784,0.171519
1.01794,1.46232,-0.0585731
0.954075,1.52708,-0.119131
0.997821,1.57783,-0.0832221
1.06437,1.49743,-0.0175731
1.03103,1.39827,-0.0185561
0.993457,1.42951,-0.0720741
0.932886,1.45158,-0.125139
0.914918,1.41013,-0.123596
0.902108,1.43766,-0.183551
1.06731,1.36742,0.0204949
1.09051,1.34126,0.0561389
1.09926,1.33201,0.171517
1.11776,1.3751,0.0548779
1.12244,1.36941,0.171517
1.09379,1.41095,0.0274029
-0.672265,0.998244,-0.224844
-0.487967,0.967365,-0.23427
-0.55184,0.900212,-0.189536
-0.50072,0.890924,-0.182532
-0.438477,0.907763,-0.19145
-0.279847,0.981898,-0.209815
-0.286662,0.935503,-0.181228
-0.293565,0.899876,-0.0739751
-0.491462,0.881631,-0.0770201
-0.301733,0.883346,0.00254991
-0.0361531,1.0075,-0.124876
-0.0403761,0.960519,-0.00566709
-0.0552261,0.942256,0.171521
-0.320445,0.873781,0.171522
0.505383,0.456253,-0.234821
0.52879,0.459092,-0.245532
0.544195,0.379433,-0.262265
0.577081,0.474869,-0.220891
0.612204,0.483853,-0.225603
0.63897,0.409413,-0.245294
0.626941,0.483769,-0.191952
0.654897,0.406966,-0.200622
0.512545,0.372319,-0.263297
0.51277,0.347259,-0.25728
