Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-2.00489,2.26713,3.2083,4.41052,1990
-2.13291,2.5045,2.93583,4.40919,900
-2.08902,2.28613,3.13497,4.40664,2018
-2.31894,2.38537,2.88933,4.40633,833
-2.02075,2.33248,3.14356,4.40521,1998
-2.12159,2.48148,2.95634,4.40441,901
-1.87988,2.02941,3.42715,4.40429,2436
-2.19931,2.54551,2.84262,4.40421,928
-1.94363,2.71342,2.87291,4.40386,1876
-2.12962,2.58834,2.8559,4.40351,2009
-1.86741,2.4798,3.12276,4.40321,1920
-1.98949,2.4982,3.03012,4.40235,1967
-2.10938,2.45403,2.98352,4.4015,902
-2.09479,2.35706,3.06897,4.40028,931
-2.07481,2.37062,3.07148,4.39985,936
-2.13994,2.63095,2.80121,4.39864,1980
-2.10011,2.43691,2.99697,4.39668,1972
-2.16599,2.61471,2.79259,4.39622,913
-1.95697,2.20442,3.25749,4.39322,2430
-2.24132,2.36542,2.94593,4.39286,848
-1.80452,2.26338,3.30318,4.39206,2857
-2.0593,2.21768,3.18281,4.39193,2017
-2.14639,2.56764,2.84206,4.39057,802
-2.11264,2.63546,2.80424,4.39007,1988
-2.17077,2.55098,2.83666,4.38935,933
-1.77553,2.22619,3.33821,4.38772,2855
-2.07268,2.2853,3.11924,4.38728,2016
-2.0227,2.31922,3.12553,4.38624,2005
-1.87147,2.72041,2.88679,4.38595,1878
-2.18383,2.59111,2.7807,4.38352,910
-1.84394,2.23323,3.29029,4.38332,2854
-1.97151,2.4687,3.03836,4.38325,1968
-2.22906,2.34221,2.95703,4.38163,849
-1.99148,2.25644,3.18449,4.38161,1997
-1.91793,1.93296,3.4322,4.38119,2440
-1.73704,2.62712,3.04503,4.38078,1883
-1.82676,2.18994,3.32364,4.37944,2852
-1.79755,2.45439,3.14948,4.37887,1921
-1.91771,2.14873,3.29713,4.37787,2431
-2.08055,2.41243,3.00266,4.37772,899
-2.05269,2.29199,3.11149,4.37586,2014
-2.03438,2.3044,3.11379,4.37546,2012
-2.31561,2.33186,2.88877,4.37545,834
-1.67766,2.52944,3.15124,4.37526,1908
-2.02028,1.98941,3.33167,4.37485,2493
-1.88637,2.10293,3.33816,4.3731,2432
-2.09142,2.62706,2.80089,4.37269,1996
-1.71276,2.30837,3.2933,4.37127,2862
-1.86918,2.05975,3.37152,4.37077,2434
-1.99492,2.67528,2.82129,4.36996,1874
-1.8295,2.32046,3.21902,4.36963,2859
-1.78494,2.7279,2.90861,4.36892,1880
-1.73165,2.19731,3.35558,4.36884,2853
-1.86253,2.29774,3.21526,4.36881,2856
-1.92254,2.16282,3.26893,4.36576,2382
-2.0386,2.21362,3.16241,4.36541,2015
-1.9254,2.42924,3.07212,4.36421,1969
-2.24632,2.47761,2.80326,4.36381,801
-2.18865,2.56645,2.76871,4.36378,918
-2.01223,2.10729,3.24782,4.36326,2491
-2.01766,2.02681,3.29293,4.36145,2492
-1.94046,2.19524,3.22936,4.36042,2381
-1.89891,2.12995,3.29587,4.35951,2380
-1.8765,2.34718,3.15769,4.35908,2858
-1.98896,2.24199,3.16364,4.35788,2004
-1.67248,2.26636,3.32351,4.35652,2863
-2.05627,2.3826,3.00867,4.35398,2378
-1.76986,2.35455,3.20636,4.35397,2861
-2.30549,2.28582,2.9006,4.35359,835
-1.85548,2.40289,3.11978,4.35313,1970
-1.8939,2.38737,3.10827,4.3529,2379
-1.78905,2.15355,3.33179,4.35193,2850
-1.71607,2.429,3.17702,4.35183,1922
-2.08193,2.60797,2.79202,4.35101,2003
-1.83499,2.36676,3.15536,4.3503,2860
-2.01615,2.21727,3.15088,4.34847,2013
-2.21015,2.28129,2.96815,4.34729,850
-1.73258,2.69585,2.93567,4.34598,1882
-1.99798,2.22765,3.15134,4.34572,2011
-1.94592,2.14186,3.24018,4.3443,2751
-2.29835,2.40502,2.79198,4.343,804
-2.17919,2.54735,2.75985,4.3422,924
-2.16743,2.33663,2.94691,4.34072,894
-1.97275,2.20456,3.17578,4.34021,2759
-1.64328,2.57463,3.08339,4.3401,1885
-1.92613,2.10448,3.27043,4.33988,2752
-2.11839,2.56569,2.78598,4.33959,803
-1.50345,2.17932,3.43814,4.33942,1422
-1.62088,2.48121,3.16945,4.33924,1909
-1.87607,2.08539,3.30591,4.33562,2433
-1.78201,2.38753,3.14885,4.33487,1971
-2.02968,2.34467,3.02547,4.3325,2377
-2.08674,2.58332,2.78004,4.33089,2010
-1.98779,2.25379,3.11237,4.3264,2750
-1.62928,2.2276,3.32937,4.32452,2864
-2.15796,2.53893,2.75648,4.32448,929
-1.66463,2.1705,3.34872,4.32389,2851
-2.00639,2.29996,3.06247,4.32367,2376
-2.14459,2.31153,2.95742,4.32305,895
-1.5491,2.14065,3.42133,4.32292,1421
-1.67314,2.38635,3.1879,4.31935,1923
-1.44986,2.12394,3.46995,4.319,1440
-1.89511,2.06105,3.28844,4.31893,2753
-2.31039,2.35055,2.7905,4.31855,806
-2.10461,2.55965,2.76812,4.31783,938
-1.64923,2.31546,3.24974,4.31765,2865
-1.86377,2.05722,3.30591,4.31681,2435
-2.13067,2.54343,2.75951,4.31552,934
-1.70273,2.37276,3.17598,4.31464,1966
-1.58469,2.54814,3.09824,4.31316,1887
-2.04792,2.04801,3.1949,4.31228,2744
-1.48012,2.10053,3.46249,4.31182,1463
-1.89394,1.94994,3.34643,4.31136,2438
-1.73109,2.12114,3.33039,4.31131,2849
-2.02434,2.01053,3.23125,4.31058,2742
-1.65335,2.63715,2.98122,4.30997,1884
-2.28436,2.20354,2.9039,4.30192,836
-2.07978,2.01343,3.17446,4.29611,2745
-2.0713,2.10816,3.11763,4.29585,2746
-2.124,2.2489,2.97925,4.29475,896
-1.55585,2.42309,3.18604,4.29452,1910
-2.07222,2.61064,2.7019,4.29066,1981
-2.19089,2.18605,2.97149,4.29052,851
-2.04732,2.61671,2.7115,4.28846,1989
-2.22935,2.4624,2.71167,4.28795,805
-1.40132,2.07891,3.47839,4.28774,1438
-2.06214,1.96592,3.20418,4.28766,2743
-1.92084,2.11091,3.19829,4.28656,2498
-1.4291,2.04882,3.4823,4.2856,1464
-2.09841,2.59291,2.6904,4.28541,939
-2.28579,2.40272,2.71291,4.28459,807
-2.0892,2.15405,3.05823,4.28456,2748
-1.43517,2.17315,3.40182,4.28423,1437
-1.77078,2.72531,2.78975,4.28318,1862
-1.49852,2.20997,3.34782,4.28222,1423
-2.31129,2.2901,2.784,4.28221,808
-1.49031,2.07713,3.43437,4.2814,1460
-1.99492,1.9666,3.23552,4.2797,2740
-2.10266,2.1978,3.01065,4.27966,2375
-2.09252,2.08162,3.09602,4.27752,2747
-1.47578,2.20729,3.34962,4.27435,1926
-2.11888,2.56828,2.68009,4.27418,912
-1.58641,2.26977,3.25544,4.27393,2866
-1.23672,1.95801,3.59142,4.27336,1939
-1.85924,2.69133,2.74958,4.2732,1861
-1.51814,2.51752,3.09649,4.26977,1889
-1.38271,2.01526,3.50078,4.26951,1465
-1.38929,2.12883,3.4298,4.26913,1436
-1.24582,1.98612,3.5661,4.26777,1931
-1.29099,2.00549,3.53804,4.26689,1930
-1.56186,2.59128,3.00792,4.26635,1886
-1.68472,2.7258,2.8161,4.26599,1863
-1.8781,1.97289,3.28263,4.26559,2437
-1.24395,1.97173,3.57167,4.26521,1937
-1.35912,2.02539,3.49862,4.26494,1439
-1.49748,2.22566,3.31236,4.26236,1424
-1.50177,2.37663,3.20286,4.26169,1911
-1.57131,2.15227,3.32553,4.2615,1426
-1.32497,1.97708,3.53444,4.26107,1949
-2.12814,2.54333,2.67371,4.25984,919
-2.12091,2.16187,2.99566,4.2598,897
-2.04349,1.91413,3.20976,4.25938,2741
-1.29867,1.93958,3.56229,4.25892,1946
-2.10465,2.12189,3.02926,4.2554,2749
-1.52651,2.09509,3.37333,4.25429,1459
-1.29206,1.90885,3.57457,4.25331,1947
-1.67047,2.08503,3.30909,4.25299,2848
-1.49498,2.2631,3.27378,4.25137,1913
-1.58064,2.31232,3.19779,4.25101,1924
-2.29987,2.23577,2.78669,4.24897,810
-1.8325,2.00318,3.26692,4.24777,2754
-1.55213,2.1824,3.29571,4.24661,1425
-1.48917,2.30757,3.23741,4.24539,1912
-2.17905,2.10796,2.97108,4.24488,852
-1.42157,2.03397,3.44351,4.24448,1461
-1.35255,2.07965,3.44207,4.2429,1434
-1.26624,2.00598,3.51691,4.24217,1929
-1.35984,2.18434,3.37018,4.24012,1419
-2.29682,2.33416,2.68788,4.23655,809
-1.91712,2.64083,2.69901,4.23485,1860
-1.49216,2.56197,3.02375,4.23477,1888
-1.45013,2.46158,3.12543,4.23445,1891
-1.53757,2.22961,3.25376,4.23346,1964
-2.27227,2.09097,2.8955,4.23312,837
-2.11576,2.04045,3.0446,4.23196,2760
-1.54013,2.27531,3.21803,4.2314,1965
-2.1133,1.94465,3.10599,4.23023,2761
-1.22398,1.9783,3.53143,4.22881,1938
-1.3452,1.95701,3.49892,4.2287,1950
-1.30969,2.03404,3.46831,4.22869,1435
-1.96425,1.90942,3.22136,4.22863,2738
-1.21766,1.94682,3.54912,4.22718,1940
-1.37539,1.9974,3.46171,4.22667,1462
-1.56046,2.69875,2.85159,4.2249,1864
-1.3293,2.12685,3.39433,4.22043,1433
