Points_0,Points_1,Points_2
0.116453,0.125353,-0.0483844
0.115535,0.125408,-0.0484369
0.114545,0.125218,-0.0484441
0.114255,0.125108,-0.0484368
0.11352,0.124479,-0.0483655
0.112884,0.123659,-0.0482596
0.112448,0.122779,-0.0481251
0.112294,0.122005,-0.0479812
0.112452,0.120986,-0.0478245
0.112797,0.120208,-0.0476622
0.113353,0.119398,-0.047472
0.114082,0.118674,-0.0473066
0.11485,0.118132,-0.0471709
0.115682,0.117599,-0.047037
0.116652,0.117222,-0.0469216
0.117888,0.11721,-0.046852
0.119023,0.117577,-0.0468778
0.11962,0.118928,-0.0463554
0.119742,0.119518,-0.0464579
0.119792,0.120517,-0.0466367
0.119653,0.121584,-0.0468336
0.119292,0.12276,-0.0470687
0.119116,0.123156,-0.0471507
0.118682,0.124035,-0.0473248
0.117932,0.124923,-0.0475252
0.117408,0.125293,-0.047613
0.116493,0.12569,-0.0477219
0.115821,0.125817,-0.0477868
0.115493,0.125825,-0.0477989
0.114508,0.125673,-0.0478105
0.114097,0.125526,-0.0477953
0.113308,0.124894,-0.0477358
0.112621,0.124111,-0.0476333
0.112126,0.12318,-0.047492
0.111945,0.122198,-0.0473216
0.112104,0.12114,-0.0471609
0.112549,0.120198,-0.0469486
0.113157,0.119411,-0.0467747
0.113951,0.118713,-0.0466174
0.114496,0.118325,-0.0465094
0.114757,0.118148,-0.0464609
0.115619,0.117628,-0.0463282
0.116532,0.11733,-0.0462288
0.117881,0.117387,-0.0461722
0.118932,0.11786,-0.0462219
0.119361,0.118919,-0.0456648
0.119562,0.119664,-0.0457784
0.119608,0.120676,-0.0459584
0.119498,0.121703,-0.0461534
0.119147,0.122862,-0.0463811
0.118815,0.123796,-0.0465611
0.118554,0.124336,-0.0466718
0.117978,0.125119,-0.0468437
0.117205,0.125732,-0.0469872
0.116568,0.126033,-0.0470743
0.115848,0.126213,-0.0471484
0.11484,0.126192,-0.047195
0.114465,0.126127,-0.0471982
0.113554,0.125762,-0.0471762
0.113052,0.125327,-0.0471169
0.112402,0.124528,-0.0470103
0.111784,0.123522,-0.0468432
0.111569,0.122388,-0.0466715
0.111737,0.121326,-0.0465079
0.111824,0.12104,-0.0464397
0.112324,0.120177,-0.0462443
0.112958,0.119415,-0.0460687
0.113789,0.118737,-0.0459126
0.114658,0.118126,-0.0457534
0.115553,0.117674,-0.0456275
0.116539,0.117473,-0.0455424
0.117851,0.117626,-0.0455083
0.118852,0.118183,-0.0455616
0.119103,0.118933,-0.0449678
0.119361,0.119827,-0.0451077
0.119446,0.120835,-0.0452856
0.119329,0.121888,-0.0454813
0.119181,0.122481,-0.045596
0.119039,0.122951,-0.0456936
0.118758,0.123901,-0.0458755
0.118627,0.124308,-0.0459525
0.118148,0.125167,-0.046127
0.117309,0.125979,-0.0463123
0.116659,0.126377,-0.0464243
0.115706,0.126612,-0.0465079
0.114861,0.126606,-0.046556
0.11442,0.126547,-0.0465679
0.113809,0.126384,-0.0465598
0.112992,0.125887,-0.046511
0.112137,0.124986,-0.0463942
0.111524,0.124139,-0.0462622
0.111332,0.12363,-0.046193
0.111122,0.122607,-0.0459969
0.111384,0.121554,-0.0458638
0.111606,0.121056,-0.0457651
0.112103,0.120176,-0.0455525
0.112754,0.119423,-0.0453739
0.113592,0.118726,-0.0452008
0.11454,0.118127,-0.0450448
0.115467,0.11773,-0.0449314
0.115787,0.117641,-0.0448982
0.11677,0.117605,-0.0448465
0.117847,0.11787,-0.0448381
0.118719,0.118365,-0.0448846
0.118866,0.118947,-0.0442723
0.11922,0.119973,-0.0444328
0.119294,0.120997,-0.0446109
0.119173,0.122039,-0.0448037
0.119055,0.122595,-0.0449116
0.118932,0.123058,-0.0450034
0.11871,0.124019,-0.045188
0.118532,0.124664,-0.0453087
0.118059,0.125556,-0.0454879
0.11739,0.126246,-0.045647
0.116735,0.126694,-0.0457548
0.11581,0.126985,-0.0458535
0.114899,0.127013,-0.04591
0.114357,0.12697,-0.0459327
0.113678,0.126854,-0.0459417
0.11284,0.126361,-0.0458893
0.112606,0.126146,-0.0458675
0.111897,0.125411,-0.0457652
0.111655,0.125137,-0.0457282
0.111065,0.124354,-0.0456056
0.11074,0.123373,-0.045447
0.110727,0.122851,-0.045337
0.111022,0.121803,-0.0451983
0.111327,0.121016,-0.045027
0.111794,0.120265,-0.0448691
0.112524,0.119391,-0.0446698
0.113381,0.118733,-0.0445009
0.114031,0.118304,-0.0443906
0.114421,0.118112,-0.0443343
0.11542,0.117775,-0.044234
0.115759,0.117708,-0.0441998
0.116751,0.11776,-0.0441561
0.117763,0.118098,-0.0441693
0.118692,0.118647,-0.0442281
0.119086,0.120284,-0.0437855
0.119152,0.121144,-0.0439299
0.119043,0.122195,-0.0441249
0.118805,0.123162,-0.0443143
0.11864,0.124132,-0.0444991
0.118569,0.124573,-0.044582
0.118231,0.125514,-0.0447594
0.118093,0.125752,-0.0448088
0.117455,0.126487,-0.0449738
0.116669,0.127061,-0.0451099
0.115892,0.127343,-0.0451808
0.11494,0.127448,-0.0452577
0.114302,0.127434,-0.0452933
0.113542,0.1273,-0.0453156
0.112685,0.126846,-0.0452716
0.112384,0.126596,-0.0452391
0.111648,0.125868,-0.0451504
0.111331,0.125513,-0.0450999
0.11076,0.124729,-0.0449746
0.1104,0.1238,-0.0448367
0.110347,0.123006,-0.0446984
0.110618,0.121963,-0.0445055
0.111066,0.12099,-0.044311
0.111628,0.120176,-0.044131
0.11229,0.119428,-0.043962
0.113137,0.118755,-0.04381
0.113863,0.118309,-0.0436959
0.114333,0.118093,-0.0436303
0.115286,0.117828,-0.0435372
0.115709,0.117787,-0.0435063
0.11669,0.117919,-0.0434824
0.117016,0.118008,-0.0434783
0.117726,0.118312,-0.0435013
0.118532,0.118831,-0.0435576
0.118937,0.120355,-0.0430926
0.119021,0.121283,-0.0432522
0.118909,0.122339,-0.0434484
0.118713,0.123261,-0.0436261
0.118599,0.12426,-0.0438141
0.11848,0.125235,-0.043989
0.118136,0.125981,-0.0441332
0.117527,0.126742,-0.0442996
0.116767,0.127351,-0.0444428
0.115985,0.127747,-0.0445595
0.114967,0.127884,-0.0446406
