Points_0,Points_1,Points_2
0.0164755,-0.0541694,0.012513
0.0202189,-0.0763077,0.0120289
0.0164484,-0.0754151,0.00802086
0.0165944,-0.0553161,0.0122427
0.0167096,-0.0564905,0.0119118
0.0222747,-0.07559,0.0135858
0.0165397,-0.0756927,0.00746811
0.017107,-0.0763147,0.00742489
0.0209609,-0.0790813,0.010297
0.0221543,-0.0782854,0.0125152
0.0352383,-0.00615444,-0.0490853
0.0413628,-0.00771656,-0.0485591
0.0412627,-0.0071067,-0.0486862
0.0409415,-0.00601142,-0.0488992
0.0406679,-0.00552665,-0.0489768
0.0400352,-0.00480062,-0.0490815
0.039719,-0.00451646,-0.0491164
0.0387974,-0.00407303,-0.0491342
0.0379859,-0.00388098,-0.0491036
0.0369561,-0.00413026,-0.0489543
0.0361777,-0.00455573,-0.0488071
0.035671,-0.00512921,-0.0486524
0.0351451,-0.00587999,-0.0484199
0.0350159,-0.00703599,-0.0481666
0.0350853,-0.00750081,-0.048074
0.0352961,-0.00844628,-0.0478851
0.0356809,-0.00940352,-0.0477141
0.035904,-0.00989824,-0.0476245
0.0364121,-0.010747,-0.0474836
0.0370861,-0.0115477,-0.0473651
0.0401825,-0.0109266,-0.0470413
0.0405902,-0.0103535,-0.0472082
0.0410041,-0.00937776,-0.0474465
0.0412448,-0.00854339,-0.0476503
0.0413291,-0.00755004,-0.0478696
0.0412658,-0.00696936,-0.0479992
0.0409804,-0.00584145,-0.0482171
0.0405062,-0.00498101,-0.0483647
0.0398529,-0.00427783,-0.0484576
0.0390021,-0.0037696,-0.0485026
0.0380432,-0.00357122,-0.0484616
0.0370722,-0.00373578,-0.0483273
0.0361553,-0.00419661,-0.0481568
0.035501,-0.00478221,-0.0479662
0.035048,-0.00560813,-0.0477454
0.0349191,-0.00677373,-0.0474942
0.0350189,-0.00733844,-0.0473816
0.035295,-0.00831548,-0.0471932
0.0357176,-0.00926944,-0.0470264
0.0358783,-0.00961633,-0.0469649
0.0363908,-0.0104731,-0.0468248
0.0371946,-0.0113049,-0.046716
0.0374705,-0.0114971,-0.0466853
0.0387665,-0.0117986,-0.0467414
0.039932,-0.0107742,-0.046343
0.0404692,-0.0100633,-0.0465394
0.0409088,-0.00910834,-0.0467747
0.0411418,-0.0083654,-0.0469618
0.0412828,-0.00738469,-0.0471858
0.0412612,-0.00681796,-0.0473102
0.0410278,-0.00569178,-0.0475327
0.0406193,-0.0048116,-0.0476854
0.0399587,-0.00400203,-0.047806
0.0391514,-0.00349958,-0.0478518
0.0381915,-0.00324392,-0.0478257
0.0371972,-0.00332742,-0.0477216
0.0361119,-0.00380382,-0.0475238
0.0353937,-0.00445501,-0.0473177
0.0349607,-0.00535671,-0.047085
0.0348677,-0.00654682,-0.0468228
0.0349685,-0.00721597,-0.0466854
0.0353403,-0.00824374,-0.0464984
0.0357366,-0.0091439,-0.0463384
0.0359832,-0.00964504,-0.0462496
0.0365228,-0.0104467,-0.0461163
0.0367788,-0.0106891,-0.0460835
0.037595,-0.0112463,-0.0460332
0.0387073,-0.0114007,-0.0461121
0.0396563,-0.0106057,-0.0456363
0.0402419,-0.00993119,-0.0458246
0.0408401,-0.00886129,-0.046113
0.0410528,-0.00818046,-0.0462801
0.0412006,-0.007229,-0.0464946
0.0412314,-0.00668656,-0.0466137
0.0411281,-0.00572804,-0.0468175
0.040715,-0.00464584,-0.0470119
0.040434,-0.00417528,-0.047091
0.039798,-0.00350877,-0.0471851
0.0393015,-0.00318787,-0.0472077
0.0383644,-0.00287738,-0.0471829
0.0372844,-0.00289738,-0.0470993
0.0369627,-0.00298263,-0.0470556
0.0360642,-0.0033771,-0.0468832
0.0353243,-0.00405967,-0.0466716
0.0348484,-0.00514355,-0.0464163
0.0347291,-0.00617498,-0.0461786
0.0348961,-0.00706105,-0.045997
0.035248,-0.00802442,-0.0458175
0.0354353,-0.00846279,-0.0457384
0.0359028,-0.00935371,-0.0455869
0.0366157,-0.0102876,-0.0454443
0.0377193,-0.0109487,-0.045393
0.0388467,-0.0110537,-0.0454815
0.0393861,-0.0104493,-0.0449308
0.0401882,-0.00969224,-0.0451586
0.0407721,-0.00861259,-0.0454333
0.0409919,-0.00798378,-0.0455923
0.0411619,-0.00705591,-0.0458111
0.0412183,-0.00606446,-0.0460284
0.0411621,-0.0055733,-0.0461328
0.0408302,-0.0044771,-0.0463419
0.0405492,-0.00397865,-0.0464248
0.0399489,-0.00327008,-0.0465278
0.0395109,-0.00292127,-0.0465628
0.03853,-0.00248793,-0.0465657
0.0375232,-0.00243627,-0.0464916
0.0367195,-0.0026311,-0.046383
0.0360364,-0.00298494,-0.0462546
0.0352699,-0.00362317,-0.0460508
0.0347263,-0.00476223,-0.0457623
0.0346427,-0.00589816,-0.0455143
0.0348488,-0.00693328,-0.0453063
0.0352327,-0.00788134,-0.0451299
0.0355541,-0.00852818,-0.0450178
0.0360496,-0.00940166,-0.0448674
0.0366879,-0.0101,-0.04477
0.037949,-0.0106679,-0.044757
0.0391614,-0.0102251,-0.0442426
0.0394207,-0.0100624,-0.0442977
0.0401443,-0.00934073,-0.0445067
0.0406959,-0.00834987,-0.0447671
0.0410579,-0.00733878,-0.0450171
0.0411635,-0.00655294,-0.0452032
0.0411703,-0.00542034,-0.0454464
0.0409157,-0.00431255,-0.0456702
0.0404752,-0.00342648,-0.0458263
0.0396964,-0.00259622,-0.0459381
0.0388331,-0.00213605,-0.0459473
0.0377175,-0.00193764,-0.0459029
0.0367374,-0.00216483,-0.045766
0.0360015,-0.00253172,-0.0456299
0.0351902,-0.00316584,-0.0454382
0.0349429,-0.00347693,-0.0453368
0.0345571,-0.00443724,-0.0451096
0.0345128,-0.00564242,-0.0448252
0.0347899,-0.00679875,-0.0446077
0.0351992,-0.00776844,-0.0444323
0.0356671,-0.00868859,-0.0442737
0.0362565,-0.00949269,-0.0441476
0.0371744,-0.0101632,-0.0440668
0.0383341,-0.0103986,-0.0441353
0.0387164,-0.0100879,-0.0435249
0.0393863,-0.00977669,-0.0436412
0.0400922,-0.00903234,-0.0438522
0.0406313,-0.00808468,-0.0441035
0.040984,-0.00710676,-0.0443467
0.0411123,-0.00634565,-0.0445226
0.041172,-0.00528152,-0.0447616
0.0410374,-0.00430762,-0.0449574
0.040615,-0.00325486,-0.045152
0.0402753,-0.00278238,-0.0452229
0.0395762,-0.002093,-0.0453097
0.038863,-0.00170167,-0.0453309
0.037893,-0.00146469,-0.0452969
0.0376306,-0.00144871,-0.0452829
0.0367913,-0.00167811,-0.0451587
0.0359414,-0.00205764,-0.0450031
0.0351352,-0.00265353,-0.0448168
0.0347823,-0.00313252,-0.0446674
0.0344185,-0.00408659,-0.0444487
0.0343204,-0.00471485,-0.0443012
0.0344269,-0.00567141,-0.0441043
0.0347023,-0.00666774,-0.043915
0.0350425,-0.00744032,-0.0437742
0.0353883,-0.00810531,-0.0436606
0.0359554,-0.00892825,-0.0435275
0.0363645,-0.00936858,-0.0434574
0.0373792,-0.00993713,-0.043413
0.0384826,-0.0101458,-0.0434931
0.0398292,-0.00904639,-0.0431015
0.0400954,-0.00874121,-0.0431993
0.0405783,-0.00784647,-0.0434312
0.040928,-0.006843,-0.0436784
