name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/8/0/real_time",930030,0.00821376,0.00810214,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/8/1/real_time",5871,1.19289,1.18345,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/8/2/real_time",2086,3.48483,3.42251,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/8/3/real_time",26,286.439,280.046,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/8/4/real_time",66,107.514,107.024,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/16/0/real_time",1191982,0.00628113,0.00618468,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/16/1/real_time",8323,0.861529,0.839026,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/16/2/real_time",2549,2.69627,2.64589,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/16/3/real_time",32,220.099,216.468,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/16/4/real_time",79,97.3439,96.2507,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/32/0/real_time",1126217,0.00615187,0.00610522,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/32/1/real_time",12456,0.556634,0.548862,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/32/2/real_time",2950,2.56754,2.52635,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/32/3/real_time",34,221.843,216.228,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/32/4/real_time",83,86.4063,86.0229,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/64/0/real_time",1229057,0.00756744,0.00724801,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/64/1/real_time",17229,0.45628,0.444957,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/64/2/real_time",2711,3.1419,3.00994,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/64/3/real_time",33,221.693,219.421,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/64/4/real_time",78,101.212,98.6023,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/128/0/real_time",1220803,0.00590876,0.0058401,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/128/1/real_time",20204,0.36823,0.360904,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/128/2/real_time",2448,3.65147,3.51581,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/128/3/real_time",30,239.289,235.328,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/128/4/real_time",69,106.821,105.328,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/256/0/real_time",1161525,0.00644054,0.00627491,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/256/1/real_time",19568,0.357313,0.353759,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/256/2/real_time",1879,3.89677,3.7761,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/256/3/real_time",25,298.762,291.114,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/256/4/real_time",54,139.964,135.755,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/512/0/real_time",1183940,0.0062628,0.00614919,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/512/1/real_time",13157,0.460524,0.45473,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/512/2/real_time",1301,7.84927,7.44436,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/512/3/real_time",20,355.27,354.433,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/512/4/real_time",38,200.308,197.232,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/1024/0/real_time",1205342,0.00614168,0.00604513,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1024/1/real_time",9724,0.778788,0.753985,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/1024/2/real_time",735,9.61349,9.54992,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/1024/3/real_time",10,544.604,515.147,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/1024/4/real_time",24,288.695,284.946,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/8/0/real_time",25529,0.374212,0.358106,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/8/1/real_time",1016,7.64405,7.46726,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/8/2/real_time",479,14.9606,14.8066,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/8/3/real_time",11,662.786,661.753,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/8/4/real_time",22,327.101,325.637,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/16/0/real_time",25293,0.283086,0.282819,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/16/1/real_time",1700,5.02907,4.73822,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/16/2/real_time",654,11.5679,11.2686,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/16/3/real_time",19,371.079,370.842,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/16/4/real_time",34,205.452,205.294,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/32/0/real_time",23888,0.29456,0.294304,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/32/1/real_time",2361,3.99692,3.83466,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/32/2/real_time",775,9.18716,9.04366,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/32/3/real_time",32,234.219,232.649,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/32/4/real_time",48,142.335,141.712,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/64/0/real_time",22890,0.312711,0.312446,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/64/1/real_time",4215,1.77317,1.74022,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/64/2/real_time",892,8.21051,7.97571,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/64/3/real_time",46,159.741,159.198,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/64/4/real_time",63,109.378,109.18,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/128/0/real_time",22840,0.312806,0.312213,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/128/1/real_time",5433,1.30507,1.29727,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/128/2/real_time",894,7.81694,7.66264,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/128/3/real_time",55,134.239,133.586,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/128/4/real_time",55,95.4348,95.3564,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/256/0/real_time",22109,0.319318,0.319022,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/256/1/real_time",6200,1.13596,1.13033,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/256/2/real_time",671,8.1531,8.03852,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/256/3/real_time",58,121.239,120.911,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/256/4/real_time",69,91.999,91.9195,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/512/0/real_time",21523,0.326327,0.325997,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/512/1/real_time",6868,1.03466,1.03274,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/512/2/real_time",953,7.95778,7.85527,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/512/3/real_time",59,123.909,122.152,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/512/4/real_time",74,100.433,100.167,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/1024/0/real_time",21854,0.324236,0.32374,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/1024/1/real_time",6966,1.11068,1.09291,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/1024/2/real_time",885,8.53856,8.40739,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/1024/3/real_time",54,128.875,128.766,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/1024/4/real_time",68,105.522,105.426,ms,,,"horse_tr2 -> horse_ref",,
