name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/0/real_time",1238659,0.0056757,0.00566341,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1/real_time",4510,1.59271,1.57709,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/2/real_time",484,21.1271,20.3593,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/3/real_time",1,5776.08,5534.72,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/4/real_time",1,5244.71,5137.78,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/0/real_time",31497,0.239157,0.238964,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/1/real_time",1165,5.77385,5.7701,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/2/real_time",115,60.9313,60.8875,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/3/real_time",3,2009.74,2008.88,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/4/real_time",4,1887.13,1886.38,ms,,,"horse_tr2 -> horse_ref",,
