name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/8/0/real_time",962653,0.0070185,0.00699523,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/8/1/real_time",5838,1.24131,1.21821,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/8/2/real_time",2066,3.81255,3.76818,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/8/3/real_time",26,266.112,265.3,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/8/4/real_time",64,115.261,112.796,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/16/0/real_time",1238925,0.00623845,0.00616196,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/16/1/real_time",8886,0.798649,0.781386,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/16/2/real_time",2549,2.73897,2.72047,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/16/3/real_time",32,229.252,226.553,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/16/4/real_time",77,95.928,94.0374,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/32/0/real_time",1224395,0.00572494,0.00565696,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/32/1/real_time",12624,0.568191,0.551901,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/32/2/real_time",2834,2.78602,2.74476,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/32/3/real_time",33,211.115,210.294,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/32/4/real_time",80,93.0576,92.5701,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/64/0/real_time",1208172,0.00565556,0.00562979,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/64/1/real_time",14330,0.407195,0.403751,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/64/2/real_time",2648,2.59607,2.5916,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/64/3/real_time",28,225.091,224.45,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/64/4/real_time",72,106.982,105.318,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/128/0/real_time",1254672,0.00572621,0.00567361,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/128/1/real_time",19768,0.363555,0.357753,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/128/2/real_time",2288,3.94565,3.84296,ms,,,"cow_tr2 -> cow_ref",,
