name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/0/real_time",1271048,0.00698099,0.00654987,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1/real_time",4441,1.5715,1.54593,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/2/real_time",476,15.8765,15.53,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/3/real_time",1,5823.73,5539.08,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/4/real_time",1,5204.57,5165.67,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/0/real_time",34512,0.218379,0.218196,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/1/real_time",3073,2.28511,2.28335,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/2/real_time",312,22.4294,22.4119,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/3/real_time",7,1058.02,1057.5,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/4/real_time",7,991.855,991.308,ms,,,"horse_tr2 -> horse_ref",,
