name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/8/0/real_time",1002228,0.0081519,0.00795192,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/8/1/real_time",5972,1.21726,1.19917,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/8/2/real_time",1910,3.81586,3.75042,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/8/3/real_time",23,315.973,306.513,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/8/4/real_time",47,149.436,148.192,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/16/0/real_time",1147341,0.00596003,0.00593611,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/16/1/real_time",8902,0.937604,0.900682,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/16/2/real_time",2385,2.96145,2.88918,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/16/3/real_time",29,243.791,241.066,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/16/4/real_time",59,131.968,127.867,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/32/0/real_time",1171569,0.00597009,0.00588955,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/32/1/real_time",12435,0.56545,0.55519,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/32/2/real_time",2628,2.90333,2.80101,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/32/3/real_time",27,225.924,222.773,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/32/4/real_time",64,110.449,110.305,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/64/0/real_time",1017239,0.00623235,0.00619042,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/64/1/real_time",15175,0.470681,0.457592,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/64/2/real_time",2480,2.83633,2.78271,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/64/3/real_time",30,239.239,235.18,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/64/4/real_time",51,153.713,146.924,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/128/0/real_time",1229583,0.00594303,0.00587752,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/128/1/real_time",17828,0.407592,0.392912,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/128/2/real_time",1985,3.59185,3.48408,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/128/3/real_time",27,259.153,256.612,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/128/4/real_time",55,130.392,129.423,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/256/0/real_time",799582,0.00632705,0.00623533,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/256/1/real_time",15559,0.374234,0.370623,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/256/2/real_time",1732,4.06759,4.00272,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/256/3/real_time",21,309.134,307.061,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/256/4/real_time",33,162.007,160.459,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/512/0/real_time",1194144,0.00603098,0.00593897,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/512/1/real_time",10000,0.573712,0.56382,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/512/2/real_time",1222,6.6378,6.28843,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/512/3/real_time",17,378.818,374.727,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/512/4/real_time",32,219.655,218.847,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/1024/0/real_time",1065472,0.00672106,0.00650446,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1024/1/real_time",8703,0.83522,0.817335,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/1024/2/real_time",741,9.52689,9.4438,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/1024/3/real_time",13,533.935,530.896,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/1024/4/real_time",19,326.3,325.595,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/8/0/real_time",22466,0.283631,0.282419,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/8/1/real_time",962,7.23763,7.22691,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/8/2/real_time",300,24.8716,24.0763,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/8/3/real_time",8,926.048,919.422,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/8/4/real_time",12,583.842,583.519,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/16/0/real_time",28430,0.257229,0.256989,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/16/1/real_time",1683,4.57519,4.48486,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/16/2/real_time",407,17.1747,17.0425,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/16/3/real_time",13,563.344,560.861,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/16/4/real_time",17,391.63,389.622,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/32/0/real_time",26489,0.269338,0.269115,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/32/1/real_time",2611,2.8802,2.82927,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/32/2/real_time",498,15.2287,15.0159,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/32/3/real_time",19,366.347,366.102,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/32/4/real_time",25,290.668,289.437,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/64/0/real_time",25770,0.276508,0.276245,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/64/1/real_time",3564,2.05352,2.01956,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/64/2/real_time",553,13.5214,13.4119,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/64/3/real_time",23,277.296,276.994,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/64/4/real_time",28,225.02,224.833,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/128/0/real_time",25448,0.281475,0.281174,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/128/1/real_time",3695,1.65947,1.64671,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/128/2/real_time",573,13.0575,13.0083,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/128/3/real_time",29,239.991,239.832,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/128/4/real_time",35,214.117,213.345,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/256/0/real_time",24560,0.289167,0.288918,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/256/1/real_time",4838,1.43195,1.42607,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/256/2/real_time",593,13.1327,13.0031,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/256/3/real_time",30,248.143,246.607,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/256/4/real_time",36,195.86,195.736,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/512/0/real_time",25022,0.283027,0.28276,ms,,,"line_translated_2_3_4 -> line_ref",,
