name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/8/0/real_time",949353,0.00733787,0.00723933,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/8/1/real_time",5969,1.39332,1.33995,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/8/2/real_time",2123,3.54448,3.52677,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/8/3/real_time",26,266.017,265.432,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/8/4/real_time",65,117.214,115.438,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/16/0/real_time",1216503,0.00587048,0.00582071,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/16/1/real_time",9191,0.823972,0.801023,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/16/2/real_time",2600,2.97389,2.91394,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/16/3/real_time",33,215.405,214.652,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/16/4/real_time",79,94.7084,93.9399,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/32/0/real_time",1143727,0.00583577,0.00575069,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/32/1/real_time",12090,0.615305,0.596071,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/32/2/real_time",2893,2.72459,2.68171,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/32/3/real_time",34,207.097,206.418,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/32/4/real_time",82,96.9239,94.5804,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/64/0/real_time",1219208,0.00587933,0.00585585,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/64/1/real_time",15705,0.416263,0.410671,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/64/2/real_time",2854,2.77205,2.69504,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/64/3/real_time",33,214.066,213.847,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/64/4/real_time",78,94.2853,92.8204,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/128/0/real_time",1152346,0.00584622,0.00579066,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/128/1/real_time",17958,0.379545,0.374841,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/128/2/real_time",2405,3.02865,2.99342,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/128/3/real_time",29,234.451,233.538,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/128/4/real_time",69,112.765,110.994,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/256/0/real_time",1230482,0.00629254,0.00618426,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/256/1/real_time",19419,0.375193,0.372194,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/256/2/real_time",1359,3.90305,3.86276,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/256/3/real_time",23,280.082,277.697,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/256/4/real_time",44,146.393,142.032,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/512/0/real_time",1117593,0.0077599,0.00729834,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/512/1/real_time",10000,0.542483,0.527493,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/512/2/real_time",1241,6.38614,6.16545,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/512/3/real_time",18,356.17,352.756,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/512/4/real_time",35,191.759,189.18,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/1024/0/real_time",933431,0.00620351,0.00608306,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1024/1/real_time",9734,0.739452,0.729385,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/1024/2/real_time",759,10.0922,9.80908,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/1024/3/real_time",10,569.601,530.104,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/1024/4/real_time",24,292.116,284.46,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/8/0/real_time",22086,0.292542,0.290213,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/8/1/real_time",990,7.90875,7.81264,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/8/2/real_time",398,18.455,18.2117,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/8/3/real_time",9,785.529,784.408,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/8/4/real_time",16,440.53,440.292,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/16/0/real_time",26359,0.274496,0.274236,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/16/1/real_time",1000,6.68548,6.03093,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/16/2/real_time",511,14.5941,14.4418,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/16/3/real_time",10,500.788,500.369,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/16/4/real_time",21,339.974,339.692,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/32/0/real_time",25940,0.275552,0.275253,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/32/1/real_time",2673,2.98475,2.89872,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/32/2/real_time",600,12.3001,12.2071,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/32/3/real_time",20,352.225,352.001,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/32/4/real_time",26,283.409,281.259,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/64/0/real_time",24043,0.298886,0.297431,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/64/1/real_time",3548,1.96934,1.95318,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/64/2/real_time",642,11.7131,11.5203,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/64/3/real_time",23,284.928,284.732,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/64/4/real_time",30,233.521,233.352,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/128/0/real_time",23153,0.302675,0.302411,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/128/1/real_time",3084,1.75815,1.71842,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/128/2/real_time",606,11.3488,11.2426,ms,,,"cow_tr2 -> cow_ref",,
