name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/8/0/real_time",944028,0.0070246,0.00699654,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/8/1/real_time",6020,1.22972,1.21047,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/8/2/real_time",2065,3.81398,3.76404,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/8/3/real_time",27,265.213,264.313,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/8/4/real_time",65,112.772,110.794,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/16/0/real_time",1237420,0.00649757,0.00633894,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/16/1/real_time",9416,0.761985,0.759426,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/16/2/real_time",2587,2.70191,2.69212,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/16/3/real_time",33,229.937,225.779,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/16/4/real_time",77,96.8585,95.0514,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/32/0/real_time",1238025,0.00578236,0.00575133,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/32/1/real_time",13528,0.556484,0.545506,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/32/2/real_time",2822,2.76478,2.7364,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/32/3/real_time",34,201.83,201.711,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/32/4/real_time",81,86.7328,86.1211,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/64/0/real_time",1251002,0.00640776,0.00630397,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/64/1/real_time",15368,0.402746,0.399862,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/64/2/real_time",2873,2.45497,2.44359,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/64/3/real_time",33,224.815,219.076,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/64/4/real_time",70,96.8676,95.2528,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/128/0/real_time",1225067,0.00579954,0.00575241,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/128/1/real_time",20251,0.363046,0.35658,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/128/2/real_time",2236,3.06834,3.04667,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/128/3/real_time",30,233.874,232.508,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/128/4/real_time",69,107.594,105.805,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/256/0/real_time",1195663,0.00614241,0.00605407,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/256/1/real_time",17410,0.350881,0.350185,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/256/2/real_time",1907,3.82684,3.8008,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/256/3/real_time",23,291.92,289.125,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/256/4/real_time",53,129.769,128.458,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/512/0/real_time",1162409,0.0057819,0.00571119,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/512/1/real_time",14210,0.48939,0.482128,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/512/2/real_time",1202,5.80944,5.742,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/512/3/real_time",20,352.642,352.099,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/512/4/real_time",38,194.519,190.751,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/1024/0/real_time",1248117,0.00623379,0.00617775,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1024/1/real_time",9525,0.731289,0.729718,ms,,,"cow_tr1 -> cow_ref",,
