name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/0/real_time",1345242,0.00645633,0.00634929,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1/real_time",4535,1.9773,1.82715,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/2/real_time",352,14.8243,14.7239,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/3/real_time",1,5545.64,5503.12,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/4/real_time",1,5227.36,5168.86,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/0/real_time",32634,0.226685,0.226515,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/1/real_time",864,8.00392,7.99817,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/2/real_time",93,74.2754,74.2264,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/3/real_time",3,2327.36,2326.38,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/4/real_time",3,2182.67,2181.78,ms,,,"horse_tr2 -> horse_ref",,
