name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_GPU/128/0/real_time",25701,0.2782,0.277954,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/128/1/real_time",4785,1.54842,1.52428,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/128/2/real_time",780,9.4265,9.32493,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/128/3/real_time",37,190.317,190.208,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/128/4/real_time",45,161.507,161.419,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/256/0/real_time",24909,0.284902,0.284665,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/256/1/real_time",4221,1.26614,1.25894,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/256/2/real_time",763,9.75108,9.64484,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/256/3/real_time",35,184.706,184.405,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/256/4/real_time",46,156.419,155.185,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/512/0/real_time",24672,0.290067,0.289814,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/512/1/real_time",5759,1.34329,1.31502,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/512/2/real_time",747,9.193,9.13683,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/512/3/real_time",34,183.131,183.017,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/512/4/real_time",45,167.3,164.935,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/1024/0/real_time",24450,0.288256,0.28803,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/1024/1/real_time",5749,1.25973,1.25059,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/1024/2/real_time",723,9.81452,9.72903,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/1024/3/real_time",32,193.367,193.259,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/1024/4/real_time",43,167.158,167.052,ms,,,"horse_tr2 -> horse_ref",,
