name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/0/real_time",1306036,0.0121319,0.0112515,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1/real_time",4560,1.61068,1.58289,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/2/real_time",394,14.7851,14.5615,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/3/real_time",1,5807.14,5511.74,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/4/real_time",1,5211.41,5151.38,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/0/real_time",33425,0.224286,0.223683,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/1/real_time",2082,3.31521,3.31241,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/2/real_time",207,33.8556,33.8302,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/3/real_time",5,1348.85,1348.31,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/4/real_time",6,1264.79,1264.29,ms,,,"horse_tr2 -> horse_ref",,
